Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S0001,16,14,10,10,0.7,0
S0002,16,53,51,60,6.1,1
S0003,18,45,44,54,7.3,1
S0004,15,72,61,68,7.7,1
S0005,20,14,10,12,1.5,0
S0006,15,26,20,36,7.4,0
S0007,20,44,45,51,6.0,1
S0008,16,66,53,75,8.6,1
S0009,17,41,45,30,4.0,0
S0010,17,53,40,59,5.6,1
S0011,18,52,62,64,7.0,1
S0012,20,62,40,50,4.3,1
S0013,18,45,25,35,6.7,0
S0014,18,39,29,45,7.6,0
S0015,20,35,35,35,2.6,0
S0016,16,37,18,22,2.0,0
S0017,22,60,75,63,5.5,1
S0018,19,61,54,55,7.8,1
S0019,19,64,82,79,9.7,1
S0020,18,10,20,11,2.0,0
S0021,15,44,24,58,6.2,1
S0022,19,36,36,30,2.8,0
S0023,16,68,55,53,9.8,1
S0024,17,27,34,41,3.0,0
S0025,18,51,29,54,7.3,1
S0026,22,25,10,14,1.6,0
S0027,18,10,10,10,0.6,0
S0028,20,26,14,17,1.2,0
S0029,22,16,23,19,2.8,0
S0030,20,23,10,10,4.5,0
S0031,16,10,13,12,1.1,0
S0032,22,30,23,19,1.8,0
S0033,16,31,49,27,1.0,0
S0034,18,13,10,13,2.1,0
S0035,21,10,10,10,0.5,0
S0036,22,32,10,10,2.0,0
S0037,20,10,10,10,1.0,0
S0038,16,70,73,62,8.6,1
S0039,18,52,43,42,6.0,1
S0040,20,87,74,81,9.4,1
S0041,19,52,70,59,4.8,1
S0042,16,21,30,10,1.2,0
S0043,18,56,38,33,4.0,1
S0044,15,25,43,38,6.8,0
S0045,19,32,22,35,1.6,0
S0046,20,12,10,17,2.4,0
S0047,15,11,21,10,1.4,0
S0048,19,10,10,10,2.0,0
S0049,17,42,52,54,5.7,1
S0050,19,49,64,58,4.0,1
S0051,18,53,60,30,6.8,1
S0052,17,75,70,65,9.3,1
S0053,21,10,22,10,0.7,0
S0054,18,23,37,16,3.0,0
S0055,18,26,36,16,2.4,0
S0056,18,20,26,10,0.7,0
S0057,19,16,19,10,3.8,0
S0058,15,21,27,20,1.6,0
S0059,16,50,13,45,6.2,0
S0060,16,25,25,26,4.2,0
S0061,18,51,41,51,4.0,1
S0062,16,60,44,56,7.3,1
S0063,19,62,38,58,5.8,1
S0064,17,55,51,44,6.3,1
S0065,21,50,39,57,8.0,1
S0066,22,74,71,71,8.0,1
S0067,20,20,14,33,1.4,0
S0068,17,19,10,10,0.7,0
S0069,21,47,44,57,8.9,1
S0070,17,69,67,64,6.7,1
S0071,21,17,15,29,2.6,0
S0072,16,32,53,42,4.8,1
S0073,22,38,50,38,6.3,1
S0074,17,52,49,60,7.6,1
S0075,22,53,46,54,6.5,1
S0076,20,75,67,75,9.0,1
S0077,18,10,10,10,1.1,0
S0078,21,18,54,38,4.2,0
S0079,21,46,31,56,5.0,1
S0080,21,28,49,37,5.6,0
S0081,19,47,40,39,4.6,1
S0082,17,78,68,85,8.5,1
S0083,15,10,10,10,1.3,0
S0084,20,27,10,22,2.5,0
S0085,21,28,10,19,2.9,0
S0086,20,54,46,45,2.6,1
S0087,18,28,35,34,2.4,0
S0088,18,47,19,27,4.9,0
S0089,16,71,45,56,7.9,1
S0090,21,31,28,24,4.3,0
S0091,16,61,53,37,7.1,1
S0092,15,26,13,22,3.8,0
S0093,21,96,70,72,8.3,1
S0094,17,14,31,46,4.6,0
S0095,22,36,40,49,4.9,1
S0096,16,15,10,10,3.1,0
S0097,20,10,16,26,0.8,0
S0098,20,10,10,10,3.2,0
S0099,18,10,11,10,1.3,0
S0100,22,48,39,49,4.8,1
S0101,20,28,27,22,5.0,0
S0102,22,31,26,29,3.1,0
S0103,17,14,10,13,2.3,0
S0104,19,72,71,81,9.8,1
S0105,17,38,36,35,3.1,0
S0106,22,24,14,24,1.5,0
S0107,15,25,36,31,2.9,0
S0108,15,10,31,29,1.9,0
S0109,21,45,39,49,6.3,1
S0110,22,15,14,17,3.3,0
S0111,16,79,68,69,9.5,1
S0112,17,57,45,42,5.7,1
S0113,15,10,10,22,2.7,0
S0114,19,42,57,47,8.0,1
S0115,18,59,70,68,6.7,1
S0116,19,42,47,60,6.2,1
S0117,19,62,60,65,7.1,1
S0118,15,55,70,66,8.9,1
S0119,15,66,84,73,10.0,1
S0120,22,38,43,34,5.4,0
S0121,22,64,59,65,9.7,1
S0122,17,21,41,22,3.6,0
S0123,15,42,42,33,4.8,0
S0124,15,40,43,47,6.7,1
S0125,22,45,29,44,6.4,0
S0126,22,65,52,55,8.9,1
S0127,17,40,40,52,3.5,1
S0128,16,63,37,52,4.9,1
S0129,19,26,18,25,4.4,0
S0130,18,49,52,44,9.3,1
S0131,21,27,45,32,3.7,0
S0132,22,58,45,64,8.7,1
S0133,21,40,30,26,4.8,0
S0134,18,62,36,59,8.6,1
S0135,21,12,33,23,4.2,0
S0136,15,24,38,33,1.7,0
S0137,16,31,15,33,5.5,0
S0138,17,10,10,10,1.2,0
S0139,16,64,69,80,8.6,1
S0140,22,71,54,58,8.8,1
S0141,18,56,40,42,7.6,1
S0142,22,21,16,20,2.1,0
S0143,20,49,25,35,4.1,0
S0144,17,10,10,10,2.2,0
S0145,17,10,10,10,2.7,0
S0146,22,62,56,67,9.1,1
S0147,19,47,46,40,6.6,1
S0148,21,78,66,76,8.6,1
S0149,19,10,31,14,0.7,0
S0150,15,54,80,61,9.2,1
S0151,18,50,29,32,6.3,0
S0152,17,56,57,68,6.5,1
S0153,20,68,62,59,7.5,1
S0154,17,62,59,67,8.0,1
S0155,17,22,34,19,2.9,0
S0156,20,58,56,52,8.1,1
S0157,21,69,74,74,9.7,1
S0158,16,21,15,24,4.8,0
S0159,20,18,22,10,1.5,0
S0160,18,38,39,34,6.7,0
S0161,16,23,20,25,1.8,0
S0162,17,32,12,10,4.2,0
S0163,17,44,39,45,8.9,1
S0164,19,10,18,10,0.8,0
S0165,16,72,55,56,9.8,1
S0166,19,46,20,37,2.3,0
S0167,15,18,10,10,1.0,0
S0168,18,45,51,37,6.1,1
S0169,15,54,39,52,3.1,1
S0170,16,55,54,48,6.8,1
S0171,20,13,10,10,0.6,0
S0172,16,33,48,46,5.0,1
S0173,15,63,63,78,7.4,1
S0174,15,10,10,10,1.1,0
S0175,22,31,30,27,1.2,0
S0176,20,23,15,26,4.1,0
S0177,16,44,52,49,8.6,1
S0178,22,59,38,57,8.9,1
S0179,20,26,42,44,4.6,0
S0180,16,28,22,16,1.4,0
S0181,17,29,30,37,5.8,0
S0182,20,73,77,74,8.8,1
S0183,19,49,42,50,6.2,1
S0184,18,65,60,60,8.5,1
S0185,18,60,81,68,8.2,1
S0186,15,30,46,41,6.3,0
S0187,19,70,73,73,9.3,1
S0188,16,14,14,10,1.8,0
S0189,21,49,32,57,4.8,1
S0190,16,88,78,77,8.9,1
S0191,22,43,38,52,6.8,1
S0192,16,51,32,37,3.8,1
S0193,19,10,10,10,0.9,0
S0194,18,54,66,65,7.8,1
S0195,21,18,10,10,2.2,0
S0196,20,14,33,16,1.2,0
S0197,20,27,27,34,6.0,0
